Date,Project Name,Agreement #:,Quote Deadline,Decision Deadline,Shipping Budget,Decision Status,Official 3PL Outbound Decision,Official 3PL Inbound Decision,Offical 3PL Notified? Y/N,BOL Status,Logistics Status,Project Address,State Project is in,Meal Count,Meal Type,Shipping Quote Form Made?,Total  Miles (Each Way),Total Miles (Round Trip),Warehouse Packing Deadline,Outbound Delivery Date,Weekday #,Weekend Delivery,Outbound Liftgate? Yes or No,Outbound Volume,FTL (10 or more),Outbound Weight ,OB Quote #1- Company,OB Quote #1- Cost,OB Quote #2- Company,OB Quote #2- Cost,OB Quote #3- Company,OB Quote #3- Cost,Outbound Quote Final,Inbound Warehouse ,Inbound Pickup Date,Weekday #,Weekend Delivery,Inbound Pickup Liftgate?,Inbound Volume,FTL (10 or more),Inbound Weight,Inbound Quote #1- Company,Inbound Quote #1- Cost,Inbound Quote #2- Company,Inbound Quote #2- Cost,Inbound Quote #3- Company,Inbound Quote #3- Cost,Inbound Quote Final
6/7/2019,Citi Global Community Day- Tucson,3108,5/17/2019,5/31/2019,"$4,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"9030 S. Rita Rd, Tucson, AZ 85747 ",AZ,"60,000",RLJ,Yes,931,"1,862",5/28/2019,6/6/2019,5,FALSE,Yes,5,n,"10,700",Astra,"$1,687.32",CH,"$2,182.06",FedEx (Q: 1184231171),"$1,022.24","$1,022.24",DFW,6/7/2019,6,FALSE,Yes,2,n,"2,650",Astra,$600.53,CH,$509.85,FedEx (Q: 1184234834),$380.41,$380.41
6/7/2019,LDS- Wellsville Utah Stake Hunger Project,3130,5/17/2019,5/31/2019,$0.00,Complete,DSA,DSA,Y,Obtained,Complete,"LDS Institute Building 600 Darwin Ave, Logan UT 84321",UT,"30,000",RLJ,Yes,94,188,5/31/2019,6/7/2019,6,FALSE,Yes,4,n,"6,300",Astra,"$1,148.03",CH,$602.50,FedEx (Q: 1184242394),$313.94,$313.94,SLC,6/7/2019,6,FALSE,Yes,3,n,"2,100",Astra,$311.64,CH,$602.50,FedEx (Q: 1184245112),$275.28,$275.28
6/13/2019,GenNow EBRG,3160,5/23/2019,6/6/2019,"$1,000.00",Complete,DSA,DSA,Y,Obtained,Complete,"4333 Amon Carter Blvd, Fort Worth TX 76155",TX,"50,000",RLJ,Yes,5,10,6/5/2019,6/13/2019,5,FALSE,No,5,n,"9,250",Astra,$551.53,CH,$375.00,DSA,$237.50,$237.50,DFW,6/13/2019,5,FALSE,No,2,n,"2,700",Astra,$244.40,CH,$375.00,DSA,$237.50,$237.50
6/15/2019,G. Ray Bodley High School Student Senate,3166,5/25/2019,6/8/2019,"$1,000.00",Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"129 Curtis Street, Fulton NY 13069",NY,"10,000",Kidz Mac,Yes,"1,229","2,458",6/5/2019,6/14/2019,6,FALSE,Yes,3,n,"3,000",Astra,$816.17,CH,$842.84,FedEx (Q: 1190529954),$578.10,$578.10,FL,6/17/2019,2,FALSE,Yes,2,n,"1,200",Astra,$684.16,CH,$438.84,FedEx (Q: 1190533812),$371.67,$371.67
6/17/2019,Protivti Intern Challenge,3134,5/27/2019,6/10/2019,$300.00,Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"Loews Sapphire Falls 6601 Adventure Way, Orlando FL 32837",FL,"100,000",RLJ,Yes,32,64,6/11/2019,6/17/2019,2,FALSE,No,12,y,"18,000",Astra,$475.00,CH,$300.00,FedEx (Q: 1190542392),$409.95,$300.00,FL,6/17/2019,2,FALSE,No,3,n,"5,300",Astra,-,CH,$300.00,FedEx (Q: 1190545351),$257.25,$257.25
6/17/2019,Surge In The City,3252,5/27/2019,6/10/2019,$300.00,Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"735 Herndon Avenue, Orlando FL 32803",FL,"30,000",IVP,Yes,17,34,6/11/2019,6/14/2019,6,FALSE,Yes,4,n,"4,300",Astra,$426.19,CH,$367.40,FedEx (Q: 1199370857),$358.82,$358.82,FL,6/17/2019,2,FALSE,Yes,2,n,"1,800",Astra,$165.81,CH,$188.84,FedEx (Q: 1199372294),$358.82,$165.81
6/18/2019,49ers Annual Community Day,3270,5/28/2019,6/11/2019,"$1,200.00",Complete,CH Robinson,Astra,Y,Obtained,Complete,"4949 Marie P. DeBartolo Way, Santa Clara CA 95054",CA,"30,000",RLJ,Yes,761,"1,522",6/5/2019,6/17/2019,2,FALSE,No,3,n,"6,000",Astra,$831.35,CH,$662.69,FedEx (Q: 1195671299),$573.69,$573.69,SLC,6/18/2019,3,FALSE,No,2,n,"2,100",Astra,$315.23,CH,$297.78,FedEx (Q: 1195672781),$254.57,$254.57
6/20/2019,JPMC - Jacksonville,3239,5/30/2019,6/13/2019,"$2,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"7301 Baymeadows Way, Jacksonville, FL 32256",FL,"30,000",IVP,Yes,119,238,6/14/2019,6/19/2019,4,FALSE,Yes,5,n,"5,000",Astra,$607.88,CH,$482.08,FedEx (Q: 1190704774),$283.99,$283.99,FL,6/20/2019,5,FALSE,Yes,2,n,"2,350",Astra,$285.76,CH,$207.98,Fedex (Q: 1190730109),$275.28,$207.98
6/21/2019,For The Strength of Youth,3168,5/31/2019,6/14/2019,$0.00,Complete,DSA,DSA,Y,Obtained,Complete,"Heber Valley Camp 6402 E. 1200 South, Heber City, UT 84032",UT,"40,000",RLJ,Yes,53,106,6/10/2019,6/21/2019,6,FALSE,Yes,5,n,"7,875",Astra,"$1,185.01",CH,$779.09,DSA,$250.00,$250.00,SLC,6/21/2019,6,FALSE,Yes,3,n,"2,500",Astra,$561.61,CH,$208.77,DSA,$250.00,$208.77
6/25/2019,Wells Fargo Merchant Services,3264,6/4/2019,6/18/2019,"$2,000.00",Complete,Astra,Astra,Y,Obtained,Complete,"First Data Building 1 Western MD Parkway, Hagerstown, MD 21740 ",MD,"25,000",IVP,Yes,647,"1,294",6/12/2019,6/24/2019,2,FALSE,Yes,4,n,"4,100",Astra,$815.33,CH,$934.97,FedEx (Q: 1193822609),$610.09,$610.09,IL,6/25/2019,3,FALSE,Yes,2,n,"2,000",Astra,$425.37,CH,$318.88,FedEx (Q: 1193824533),$366.13,$318.88
